#	"City ID"	"City Name"	"Airport code"	"Country ID"	"Country name"#	"Region ID"	"Region name"	"Continent ID"	"Continent name"	"Hemisphere ID"
	186	Kota Kinabalu	BKI	148	Malaysia	15	South-Eastern Asia	1	Asia	1
	187	Limbang	LMN	148	Malaysia	15	South-Eastern Asia	1	Asia	1
	188	Sibu	SBW	148	Malaysia	15	South-Eastern Asia	1	Asia	1
	189	Tioman Island	TOD	148	Malaysia	15	South-Eastern Asia	1	Asia	1
	190	Long Banga	LBP	148	Malaysia	15	South-Eastern Asia	1	Asia	1
	191	Labuan	LBU	148	Malaysia	15	South-Eastern Asia	1	Asia	1
	192	Miri	MYY	148	Malaysia	15	South-Eastern Asia	1	Asia	1
	193	Kerteh	KTE	148	Malaysia	15	South-Eastern Asia	1	Asia	1
	194	Kuala Terengganu	TGG	148	Malaysia	15	South-Eastern Asia	1	Asia	1
	195	Vieques	VQS	170	Puerto Rico	1	Caribbean	3	North America	1
	196	Aguadilla	BQN	170	Puerto Rico	1	Caribbean	3	North America	1
	197	San Juan (PR)	SJU	170	Puerto Rico	1	Caribbean	3	North America	1
	198	Ponce	PSE	170	Puerto Rico	1	Caribbean	3	North America	1
	199	Dzaoudzi	DZA	149	Mayotte	4	Eastern Africa	0	Africa	1
	200	Pyongyang	FNJ	171	Korea, Dem. Rep.	5	Eastern Asia	1	Asia	0
	201	Kigoma	TKQ	214	Tanzania	4	Eastern Africa	0	Africa	1
	202	Sumbawanga	SUT	214	Tanzania	4	Eastern Africa	0	Africa	1
	203	Tanga	TGT	214	Tanzania	4	Eastern Africa	0	Africa	1
	204	Seronera	SEU	214	Tanzania	4	Eastern Africa	0	Africa	1
	205	Kilimanjaro	JRO	214	Tanzania	4	Eastern Africa	0	Africa	1
	206	Zanzibar	ZNZ	214	Tanzania	4	Eastern Africa	0	Africa	1
	207	Iringa	IRI	214	Tanzania	4	Eastern Africa	0	Africa	1
	208	Songea	SGX	214	Tanzania	4	Eastern Africa	0	Africa	1
